Time (s),Channel 1 (V)
-0.006116766,-3.950617284
-0.006116266,-1.069958848
-0.006115766,1.069958848
-0.006115266,4.526748971
-0.006114766,4.444444444
-0.006114266,4.444444444
-0.006113766,-0.164609053
-0.006113266,-3.950617284
-0.006112766,-3.950617284
-0.006112266,-3.868312757
-0.006111766,-1.975308642
-0.006111266,0.49382716
-0.006110766,2.057613169
-0.006110266,2.469135802
-0.006109766,1.399176955
-0.006109266,0.576131687
-0.006108766,0.164609053
-0.006108266,0.164609053
-0.006107766,-0.329218107
-0.006107266,-0.082304527
-0.006106766,0
-0.006106266,-0.082304527
-0.006105766,0.082304527
-0.006105266,0.082304527
-0.006104766,4.444444444
-0.006104266,4.526748971
-0.006103766,1.563786008
-0.006103266,-0.987654321
-0.006102766,-0.740740741
-0.006102266,-4.032921811
-0.006101766,-4.032921811
-0.006101266,-3.456790123
-0.006100766,0.49382716
-0.006100266,0.082304527
-0.006099766,0.49382716
-0.006099266,0.329218107
-0.006098766,2.716049383
-0.006098266,4.444444444
-0.006097766,4.444444444
-0.006097266,2.386831276
-0.006096766,-0.411522634
-0.006096266,-0.411522634
-0.006095766,4.444444444
-0.006095266,2.716049383
-0.006094766,-0.823045267
-0.006094266,-3.950617284
-0.006093766,-4.362139918
-0.006093266,-2.469135802
-0.006092766,0.905349794
-0.006092266,4.362139918
-0.006091766,4.609053498
-0.006091266,4.444444444
-0.006090766,2.222222222
-0.006090266,-1.728395062
-0.006089766,-3.868312757
-0.006089266,-3.950617284
-0.006088766,-3.209876543
-0.006088266,-0.49382716
-0.006087766,1.069958848
-0.006087266,1.152263374
-0.006086766,0.987654321
-0.006086266,0.740740741
-0.006085766,0.329218107
-0.006085266,0.082304527
-0.006084766,-0.082304527
-0.006084266,-0.164609053
-0.006083766,-0.082304527
-0.006083266,-0.082304527
-0.006082766,0
-0.006082266,0.082304527
-0.006081766,2.222222222
-0.006081266,4.444444444
-0.006080766,2.880658436
-0.006080266,-2.304526749
-0.006079766,-0.823045267
-0.006079266,-3.78600823
-0.006078766,-4.115226337
-0.006078266,-3.78600823
-0.006077766,0.24691358
-0.006077266,0.740740741
-0.006076766,0
-0.006076266,0.49382716
-0.006075766,3.127572016
-0.006075266,4.032921811
-0.006074766,2.880658436
-0.006074266,2.469135802
-0.006073766,2.139917695
-0.006073266,0.905349794
-0.006072766,4.526748971
-0.006072266,2.716049383
-0.006071766,-0.905349794
-0.006071266,-3.950617284
-0.006070766,-4.197530864
-0.006070266,-3.621399177
-0.006069766,0.411522634
-0.006069266,2.962962963
-0.006068766,4.526748971
-0.006068266,4.444444444
-0.006067766,2.551440329
-0.006067266,-2.469135802
-0.006066766,-3.950617284
-0.006066266,-3.950617284
-0.006065766,-3.53909465
-0.006065266,-0.658436214
-0.006064766,0.658436214
-0.006064266,1.316872428
-0.006063766,1.069958848
-0.006063266,0.658436214
-0.006062766,0.49382716
-0.006062266,0
-0.006061766,-0.164609053
-0.006061266,-0.082304527
-0.006060766,-0.164609053
-0.006060266,-0.905349794
-0.006059766,-0.823045267
-0.006059266,0.082304527
-0.006058766,0.164609053
-0.006058266,4.444444444
-0.006057766,4.444444444
-0.006057266,0.411522634
-0.006056766,-0.905349794
-0.006056266,-3.868312757
-0.006055766,-3.950617284
-0.006055266,-4.032921811
-0.006054766,-1.399176955
-0.006054266,0.987654321
-0.006053766,0.24691358
-0.006053266,-0.082304527
-0.006052766,0.905349794
-0.006052266,3.950617284
-0.006051766,4.444444444
-0.006051266,4.197530864
-0.006050766,0.49382716
-0.006050266,-2.304526749
-0.006049766,2.469135802
-0.006049266,4.444444444
-0.006048766,0.905349794
-0.006048266,-3.950617284
-0.006047766,-3.950617284
-0.006047266,-3.950617284
-0.006046766,-0.658436214
-0.006046266,1.399176955
-0.006045766,4.444444444
-0.006045266,4.444444444
-0.006044766,3.868312757
-0.006044266,-1.069958848
-0.006043766,-3.950617284
-0.006043266,-3.950617284
-0.006042766,-3.78600823
-0.006042266,-1.399176955
-0.006041766,0.740740741
-0.006041266,1.234567901
-0.006040766,1.069958848
-0.006040266,1.810699588
-0.006039766,-0.329218107
-0.006039266,0.164609053
-0.006038766,0
-0.006038266,-0.164609053
-0.006037766,-0.164609053
-0.006037266,-0.082304527
-0.006036766,0
-0.006036266,0.082304527
-0.006035766,-0.164609053
-0.006035266,4.526748971
-0.006034766,4.526748971
-0.006034266,0.658436214
-0.006033766,-0.905349794
-0.006033266,-1.399176955
-0.006032766,-4.032921811
-0.006032266,-3.950617284
-0.006031766,-2.962962963
-0.006031266,0.740740741
-0.006030766,-0.329218107
-0.006030266,-1.481481481
-0.006029766,0
-0.006029266,3.78600823
-0.006028766,4.444444444
-0.006028266,3.703703704
-0.006027766,0.658436214
-0.006027266,-0.658436214
-0.006026766,0.987654321
-0.006026266,4.444444444
-0.006025766,2.304526749
-0.006025266,-0.905349794
-0.006024766,-3.950617284
-0.006024266,-3.950617284
-0.006023766,-2.304526749
-0.006023266,0.905349794
-0.006022766,3.78600823
-0.006022266,4.444444444
-0.006021766,4.444444444
-0.006021266,2.139917695
-0.006020766,-2.551440329
-0.006020266,-2.880658436
-0.006019766,-3.950617284
-0.006019266,-3.53909465
-0.006018766,-0.740740741
-0.006018266,0.987654321
-0.006017766,1.152263374
-0.006017266,1.069958848
-0.006016766,0.740740741
-0.006016266,0.411522634
-0.006015766,0.082304527
-0.006015266,-0.164609053
-0.006014766,-0.164609053
-0.006014266,-0.082304527
-0.006013766,-0.082304527
-0.006013266,0.082304527
-0.006012766,0.082304527
-0.006012266,2.633744856
-0.006011766,4.444444444
-0.006011266,2.798353909
-0.006010766,-1.563786008
